Variable,Cohen d-score (w/o abs value)
112,-0.010978787496995816
292,-0.011097975717146172
166,-0.011217020033951098
61,-0.011532851796498848
464,-0.011554486314562273
490,-0.01156178220061157
334,-0.011726363075867713
497,-0.011744975946950165
409,-0.011812143251981716
154,-0.011860168195674571
151,-0.01202769318177117
54,-0.012073596297482139
352,-0.012113645633122606
194,-0.012122412287391872
273,-0.012206695454129866
453,-0.01241204139335505
136,-0.012461809366024265
58,-0.01262263278104824
122,-0.012665321894944466
316,-0.012685442707752128
299,-0.012921387449976288
388,-0.012965191559079136
111,-0.013060235455466722
250,-0.013135157748732602
354,-0.01393059817720835
236,-0.013939525089965384
451,-0.013985261201663043
238,-0.014351866936926758
102,-0.014451511263158969
120,-0.014473683460966405
498,-0.01481530518718052
69,-0.015187125335385146
386,-0.015279536446547962
172,-0.015370844097896429
145,-0.015441566547649065
400,-0.015557819595023495
431,-0.01581643031507386
472,-0.016012366681959368
304,-0.016088637242709935
393,-0.01611695275038823
165,-0.01618896424141134
24,-0.01683686891066529
290,-0.016844387902986913
227,-0.0170178096402869
364,-0.017141774973788444
324,-0.01734991129354911
159,-0.01761768244274969
87,-0.018179570327475775
486,-0.018340160247360505
452,-0.0184419872914862
470,-0.01850847933176327
331,-0.01859709487832248
468,-0.018615602668639472
152,-0.01874056669104477
48,-0.018985634155022604
447,-0.019694816449874107
192,-0.019702571232539802
174,-0.020297922909850042
156,-0.020439778795621318
95,-0.020528691012520993
115,-0.020916085340197284
450,-0.021629317610543906
200,-0.02227559808886988
342,-0.022387603128136757
42,-0.02265365725229372
284,-0.02316451324816786
225,-0.023185001516176404
226,-0.023260326263409122
72,-0.023432074184359632
186,-0.023863609587893027
376,-0.023990774440655324
347,-0.02430115514185417
433,-0.025057434538949725
46,-0.02528337165415881
268,-0.02530689465200515
222,-0.025512562970584837
390,-0.025658883966716655
333,-0.025666989253802935
240,-0.02594615565677519
484,-0.026065145560501476
23,-0.02612816215883179
326,-0.02651224735437499
374,-0.027316444411985108
139,-0.027490636079476428
398,-0.02771661704643847
197,-0.027770062541092523
73,-0.027778789457784298
394,-0.02814641555974216
449,-0.028216586918860524
232,-0.02849538051864312
367,-0.0289857929613784
288,-0.029207456465593796
338,-0.02927131882623389
68,-0.02968832478418754
454,-0.02980834521165166
314,-0.029926979879206988
195,-0.030102011920438206
234,-0.03043950795591856
318,-0.030469215752223645
307,-0.030638548375271527
18,-0.030901245447777576
323,-0.031173768042908903
434,-0.03185896559396973
321,-0.032019849884352004
212,-0.032453292480610435
203,-0.03249295655893312
228,-0.033549021948709734
264,-0.03374509591593169
435,-0.03387571611139583
96,-0.0344645499502147
188,-0.03473872041529793
147,-0.03474163942867381
135,-0.035114198955051065
362,-0.03522449458825585
209,-0.03535660495057064
214,-0.03655804762472404
285,-0.03812555366660716
359,-0.03813326754237973
70,-0.038419653387778266
11,-0.038847664991862964
185,-0.039421397812716114
176,-0.039762916528558345
281,-0.040093466823991314
387,-0.04203250769129263
266,-0.04203710676274752
173,-0.042534052848323296
358,-0.04312018603059012
86,-0.043545561781966016
406,-0.044174282005085726
309,-0.04502397144546073
64,-0.04604091487894635
325,-0.0463584072152015
371,-0.04638453617634477
287,-0.04668236602815613
223,-0.04741776891352076
97,-0.04939451419814427
121,-0.050219101448450224
343,-0.05154418476937185
90,-0.052472024007307494
33,-0.05265358313123415
155,-0.05267132514739002
430,-0.05391161952354315
460,-0.053920514511915124
479,-0.054892995273677664
169,-0.055517803152233446
477,-0.05605264619123754
126,-0.056488665727176694
363,-0.05747346040759842
41,-0.0577557485860968
475,-0.05839985394157178
344,-0.05841737528836116
458,-0.060800404963394145
336,-0.061172920935735786
201,-0.06154775932492122
297,-0.06208654952958899
293,-0.06437814922257826
481,-0.06635589116897973
294,-0.06637349172248067
395,-0.06839662201954956
140,-0.07406760341971065
405,-0.07559559258288776
351,-0.09081921692002469
339,-0.09991225560276593
