t,penalty,C,accuracy,score_among_top_20_percent,selected_features
11,l1,1000.0,0.698,4950.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l2,0.001,0.561,4300.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l2,0.01,0.652,4850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l2,0.1,0.69,4900.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l2,1.0,0.696,5000.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l2,10.0,0.697,4950.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l2,100.0,0.697,4950.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l2,1000.0,0.697,4950.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
12,l1,0.001,0.488,4499.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l1,0.01,0.692,4499.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l1,0.1,0.693,4750.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l1,1.0,0.695,4750.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l1,10.0,0.697,4750.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l1,100.0,0.698,4750.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l1,1000.0,0.698,4750.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l2,0.001,0.556,3900.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l2,0.01,0.645,4549.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l2,0.1,0.688,4800.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l2,1.0,0.696,4800.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l2,10.0,0.697,4750.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l2,100.0,0.697,4750.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,l2,1000.0,0.697,4750.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
13,l1,0.001,0.488,4299.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l1,0.01,0.691,4450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l1,0.1,0.696,4500.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l1,1.0,0.699,4550.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l1,10.0,0.699,4550.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l1,100.0,0.698,4550.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l1,1000.0,0.698,4550.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l2,0.001,0.544,3600.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l2,0.01,0.644,4349.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l2,0.1,0.688,4600.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l2,1.0,0.696,4600.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l2,10.0,0.697,4550.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l2,100.0,0.697,4550.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,l2,1000.0,0.697,4550.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
14,l1,0.001,0.488,4099.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l1,0.01,0.686,4149.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l1,0.1,0.694,4300.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l1,1.0,0.698,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l1,10.0,0.698,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l1,100.0,0.698,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l1,1000.0,0.698,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l2,0.001,0.542,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l2,0.01,0.643,4149.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l2,0.1,0.687,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l2,1.0,0.696,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l2,10.0,0.697,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l2,100.0,0.697,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
14,l2,1000.0,0.697,4350.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228]"
15,l1,0.001,0.488,3899.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l1,0.01,0.685,3949.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l1,0.1,0.694,4100.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l1,1.0,0.697,4050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l1,10.0,0.697,4050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l1,100.0,0.697,4050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l1,1000.0,0.697,4050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l2,0.001,0.553,3500.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l2,0.01,0.645,3850.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l2,0.1,0.695,4000.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l2,1.0,0.699,4050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l2,10.0,0.698,4050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l2,100.0,0.697,4050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
15,l2,1000.0,0.698,4050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385]"
16,l1,0.001,0.488,3699.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l1,0.01,0.678,3749.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l1,0.1,0.695,3900.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l1,1.0,0.694,3850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l1,10.0,0.695,3850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l1,100.0,0.695,3850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l1,1000.0,0.695,3850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l2,0.001,0.556,3300.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l2,0.01,0.636,3550.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l2,0.1,0.695,3800.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l2,1.0,0.696,3850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l2,10.0,0.695,3850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l2,100.0,0.695,3850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,l2,1000.0,0.695,3850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
17,l1,0.001,0.488,3499.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l1,0.01,0.681,3700.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l1,0.1,0.696,3700.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l1,1.0,0.694,3650.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l1,10.0,0.695,3650.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l1,100.0,0.695,3650.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l1,1000.0,0.695,3650.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l2,0.001,0.558,3200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l2,0.01,0.636,3300.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l2,0.1,0.695,3600.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l2,1.0,0.696,3650.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l2,10.0,0.695,3650.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,l2,100.0,0.695,3650.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
